objname,e_mod0,mod0,v_gsr,mod_mpc
ESO441-014,0.35,33.395,1989.4,47.75292737
IC3033,0.255,31.27,205.4,17.94733627
IC3036,0.2,30.359,-70.4,11.79777203
ESO321-014,0.062,27.588,425.3,3.293062702
UGC07239,0.193,32.574,1145.6,32.71899836
ESO380-001,0.4,31.31,2507.5,18.28100216
PGC039145,0.035,27.365,,2.971666032
ESO321-016,0.349,32.069,2993.7,25.92984973
ESO380-006,0.111,32.274,2762.9,28.49705627
NGC4219,0.252,31.603,1796.9,20.92184595
UGC07301,0.255,32.124,761.2,26.59500033
ESO380-008,0.4,31.02,1926.4,15.99558029
UGC07356,0.015,29.31,327.8,7.277798045
ESO321-025,0.28,30.97,1963.7,15.63147643
NGC4356,0.348,31.007,1024,15.90010528
NGC4373,0.11,32.99,3238.7,39.62780343
NGC4384,0.374,31.221,2583.7,17.5468838
NGC4373A,0.52,32.837,2754,36.9317596
ESO322-009,0.347,31.841,3366.4,23.34532907
ESO380-034,0.4,32.3,2872.5,28.84031503
UGC07599,0.05,28.37,321.8,4.720630413
ESO322-017,0.346,32.59,3220,32.96097122
UGC07605,0.068,28.335,334,4.645152752
PGC041093,0.12,29.643,456.3,8.48398711
NGC4462,0.54,32.43,1645,30.61963434
NGC4504,0.348,31.223,885,17.56305252
PGC041725,0.54,31.39,1185,18.96705921
NGC4520,0.041,35.287,7526,114.130048
NGC4562,0.308,30.222,1347.4,11.07643492
PGC041965,0.54,30.88,875.3,14.99684836
PGC041978,0.45,33.26,9128.2,44.87453899
UGC07774,0.271,32.11,573.6,26.42408757
ESO442-013,0.286,31.958,1353.9,24.63769077
NGC4574,0.28,32.926,2782.8,38.47689339
ESO322-038,0.34,32.457,3000.9,31.00273442
ESO322-040,0.54,33.37,3171.5,47.20630413
NGC4593,0.5,33.35,2363.6,46.77351413
NGC4602,0.175,32.645,2436.8,33.80648362
NGC4603,0.159,32.812,2412.5,36.50900525
NGC4619,0.031,34.949,6951.9,97.67872902
IC0807,0.29,35.06,10819.5,102.8016298
NGC4616,0.24,32.957,4429,39.0301302
NGC4645,0.18,32.357,2434,29.60738152
ESO381-014,0.258,33.182,3134.7,43.29123745
ESO381-018,0.035,28.678,451.9,5.440013782
UGC07934,0.04,35.94,9699.3,154.1700453
PGC043020,0.54,31.13,1374.2,16.82674061
NGC4675,0.036,34.505,4874.8,79.61593504
UGC07949,0.057,27.39,367.5,3.006076303
NGC4680,0.032,32.905,2326.6,38.10658234
NGC4693,0.4,32.42,1808.6,30.4789499
NGC4696D,0.67,32.757,2464.1,35.5959018
PGC043280,0.3,33.01,2680.3,39.99447498
PGC043301,0.29,32.3,2141.9,28.84031503
PGC043319,0.097,34.297,3750.6,72.34358059
PGC043345,0.54,29.39,1198.3,7.550922277
NGC4700,0.382,29.088,1294.2,6.57052391
PGC043340,0.34,33.51,2961,50.35006088
ESO322-101,0.44,32.157,1780.6,27.00225287
PGC043379,0.29,32.67,2705.2,34.19794425
NGC4708,0.048,34.033,4010.4,64.06192726
PGC043412,0.33,32.82,2705.4,36.64375746
NGC4709,0.112,33.159,4496.5,42.83512119
PGC043458,0.303,32.396,2280.2,30.14393884
ESO268-046,0.4,31.85,2120.4,23.44228815
NGC4749,0.384,32.561,1883.2,32.52370401
PGC043679,0.4,32.08,2150.3,26.0615355
PGC043690,0.048,33.083,2449.4,41.36185426
NGC4767A,0.54,33.28,2741.4,45.28975799
ESO323-034,0.22,32.667,4143.1,34.15073067
ESO507-041,0.38,32.58,3025.9,32.80952931
ESO507-042,0.38,33.17,3079.7,43.05266105
NGC4767,0.2,32.58,2889.3,32.80952931
NGC4786,0.041,34.107,4528.6,66.28267086
ESO443-009,0.07,28.863,492.7,5.923794716
PGC043970,0.54,32.39,2358.2,30.06076303
NGC4802,0.16,30.287,917.7,11.4130048
ESO219-010,0.205,28.339,,4.653717326
IC3913,0.349,34.153,7515.1,67.70176641
IC3908,0.4,31.41,1198.2,19.14255925
NGC4818,0.351,30.177,964.1,10.84925707
IC3917,0.079,35.773,6649.4,142.7578504
PGC044278,0.54,31.85,1164.8,23.44228815
PGC044268,0.2,35.02,7461.1,100.9252886
NGC4842,0.2,34.944,7322.5,97.45407418
PGC044358,0.54,31.69,1378,21.77709772
PGC044351,0.2,34.809,6064.7,91.57986521
PGC044367,0.2,34.649,7242.7,85.07461649
PGC044390,0.2,35.238,7140.5,111.5835052
IC3943,0.2,34.906,6819,95.7634977
NGC4854,0.2,35.697,8396,137.847851
PGC044506,0.54,31.34,1508.3,18.53531623
PGC044560,0.2,36.199,7822.7,173.7000726
IC3959,0.2,35.228,7042.6,111.0708256
PGC044581,0.2,33.783,6496.4,57.09525277
PGC044592,0.2,33.812,8013,57.86287388
PGC044616,0.2,34.681,6932.1,86.33760556
PGC044681,0.09,29.31,699.3,7.277798045
IC3998,0.2,34.734,9433.5,88.47080929
PGC044662,0.2,34.646,8104.8,84.95716272
ESO443-021,0.273,33.337,2660.8,46.49433067
ESO269-028,0.38,33.64,3101.7,53.45643594
PGC044704,0.2,35.078,6191.6,103.6573257
IC4011,0.2,34.877,7282.8,94.4930789
PGC044740,0.2,34.978,6152.3,98.99197751
PGC044763,0.2,35.089,7018.2,104.1837535
ESO381-041,0.4,31.91,2409.1,24.09905429
PGC044792,0.2,34.85,7658.8,93.32543008
NGC4906,0.2,35.087,7513.9,104.0878409
PGC044805,0.2,34.393,7932.8,75.61361471
PGC044809,0.073,35.231,8436.8,111.2243817
PGC044821,0.2,34.599,8581,83.13808179
NGC4897,0.59,33.37,2445,47.20630413
IC4062,0.2,35.38,10901.7,119.1242008
PGC044848,0.2,34.418,7653.7,76.4891791
PGC044897,0.2,35.248,7658.3,112.0985513
ESO507-067,0.38,32.66,2910.8,34.04081897
PGC044928,0.2,34.847,5817.2,93.19658526
PGC044929,0.2,35.568,7564.5,129.8972629
PGC044982,0.07,28.8,627.3,5.754399373
ESO219-021,0.252,30.876,1195,14.96924857
PGC044975,0.2,34.948,7592.1,97.63375666
IC4111,0.2,33.223,7776.3,44.11639332
ESO269-037,0.046,27.49,568.5,3.147748314
NGC4930,0.36,30.58,2419.7,13.06170888
