objname,e_mod0,mod0,v_gsr,mod_mpc
UGC11552,0.351,34.421,4709.1,76.59492584
ESO400-025,0.352,32.503,2210.4,31.66649527
PGC064812,0.54,33.85,5730.9,58.88436554
ESO340-038,0.814,33.702,5535.7,55.00472529
NGC6923,0.11,32.555,2876.4,32.43396173
UGC11584,0.358,34.752,5511.3,89.20721887
ESO234-043,0.263,31.402,2414.8,19.07216521
NGC6949,0.31,32.35,2984.5,29.51209227
ESO340-042,0.54,31.63,2663.6,21.18361135
UGC11595,0.353,33.639,4174.7,53.43182401
UGC11603,0.54,33.89,5422.8,59.97910763
UGC11599,0.54,33.97,4635.2,62.23002852
PGC065131,0.54,33.2,4039.1,43.65158322
UGC11613,0.351,32.791,2892.8,36.15763364
PGC065211,0.54,32.87,3086.8,37.49730022
IC5039,0.351,31.671,2757.2,21.58738316
ESO234-069,0.032,33.959,4340.5,61.91558776
UGC11647,0.352,35.287,8202.9,114.130048
NGC6986,0.047,35.355,8632.7,117.7605974
UGC11656,0.352,34.037,4766.2,64.18004245
ESO342-013,0.348,31.347,2657.2,18.59516344
UGC11706,0.347,34.61,4931.3,83.56030182
NGC7041,0.31,32.027,1920.1,25.43314106
UGC11719,0.54,35.97,8742.9,156.3147643
NGC7049,0.22,32.357,2235.4,29.60738152
PGC066548,0.54,30.96,1154.8,15.55965632
UGC11725,0.044,35.336,6433.3,116.7347076
PGC066592,0.06,33.626,4226.2,53.11289819
IC5104,0.348,34.063,5162.9,64.95311744
ESO287-009,0.4,32.6,2668.8,33.11311215
IC5105B,0.4,31.73,2253.6,22.1819642
PGC066738,0.54,33.37,3076.2,47.20630413
NGC7059,0.306,31.55,1653.4,20.41737945
ESO342-050,0.292,32.062,2670.6,25.84639636
NGC7064,0.264,30.189,763.7,10.90937825
UGC11758,0.18,35.08,8804.6,103.7528416
NGC7091,0.54,31.19,2589.2,17.29816359
NGC7090,0.055,29.89,799,9.506047937
ESO287-043,0.264,32.133,2471.3,26.70545612
UGC11780,0.056,36.544,15421.8,203.6104201
ESO403-017,0.262,31.824,2729,23.16327696
ESO403-024,0.54,31.86,2634.7,23.55049284
UGC11818,0.3,31.78,2612.8,22.69864852
NGC7131,0.044,34.388,5526.7,75.43970822
NGC7140,0.352,32.137,2921.6,26.75469473
UGC11839,0.347,34.945,6163.5,97.49896377
ESO404-012,0.4,32.9,2672.4,38.01893963
UGC11862,0.54,34.46,6064.5,77.98301105
NGC7162A,0.4,31.5,2261.5,19.95262315
ESO404-017,0.283,33.151,2535.6,42.67760112
NGC7168,0.24,32.697,2803.3,34.62581465
NGC7180,0.26,31.237,1519.3,17.67665151
NGC7185,0.37,31.487,1868.2,19.8335292
IC5156,0.346,32.846,2783.2,37.08514659
NGC7188,0.54,30.83,1840.7,14.65547841
UGC11895,0.347,34.019,4938.4,63.65023332
NGC7179,0.4,33.24,2885.7,44.46312675
UGC11918,0.54,33.95,4301.4,61.65950019
NGC7205,0.164,31.135,1621.3,16.86553025
ESO601-025,0.4,31.53,1814.2,20.23019179
IC5171,0.4,32.45,2811.1,30.90295433
ESO288-049,0.4,30.81,1947.7,14.52111618
UGC11946,0.349,34.767,5757.7,89.82557377
IC1441,0.54,34.51,5355.7,79.79946873
ESO289-010,0.4,32.72,2743.9,34.9945167
ESO237-052,0.4,32.43,2858.8,30.61963434
IC5201,0.275,29.988,892.2,9.944890372
ESO238-005,0.051,29.524,673.3,8.031561699
ESO027-008,0.08,32.36,2350.4,29.6483139
ESO289-026,0.4,31.61,2414.7,20.98939884
PGC068872,0.349,35.077,7752.2,103.6096007
ESO533-028,0.349,32.629,2619.5,33.5583037
UGC12069,0.4,31.94,2565.4,24.43430553
NGC7302,0.21,31.857,2767.4,23.5179791
NGC7307,0.248,31.671,2075.7,21.58738316
PGC069160,0.042,36.22,10506.5,175.3880502
UGC12141,0.4,32.89,2282.6,37.84425847
UGC12135,0.353,33.359,4212.8,46.96777642
PGC069404,0.54,31.21,3038.7,17.45822153
PGC069448,0.348,32.367,3100.9,29.74404298
ESO468-020,0.03,26.75,123.9,2.238721139
ESO289-048,0.4,32.49,2816.8,31.47748314
UGC12160,0.355,32.044,1756.2,25.6330332
PGC069519,0.026,24.815,98.9,0.918332596
PGC069691,0.54,32.92,2689,38.37072455
NGC7378,0.364,32.096,2666.3,26.25427319
UGC12204,0.347,35.14,6940.4,106.6596121
NGC7400,0.4,32.77,2973.8,35.80964371
NGC7410,0.382,33.015,1734.9,40.08667176
ESO346-014,0.257,33.306,2690.3,45.83529174
NGC7416,0.349,32.571,2975.6,32.67382661
IC5269A,0.4,32.84,2878.8,36.98281798
NGC7412A,0.38,27.08,911,2.60615355
ESO603-031,0.54,32.75,2341.5,35.48133892
IC5271,0.105,31.803,1733.2,22.94034791
IC5273,0.249,30.803,1293.8,14.474381
ESO406-042,0.4,31.35,1375.5,18.62087137
NGC7462,0.247,29.918,1048.8,9.62941713
ESO469-008,0.54,33.12,1793.3,42.07266284
IC1468,0.04,36.045,9734.8,161.8080038
ESO469-015,0.353,32.143,1659,26.82872291
ESO407-007,0.284,32.242,1632.7,28.08018728
NGC7496,0.54,29.34,1626.3,7.379042301
UGC12410,0.364,35.296,7284.2,114.6040591
NGC7513,0.349,31.009,1595.9,15.91475657
ESO291-011,0.024,36.342,12951.3,185.5239576
ESO407-014,0.28,32.683,2748.8,34.40329188
NGC7582,0.1,31.41,1560.3,19.14255925
UGC12504,0.4,33.58,2634.9,51.99959965
NGC7599,0.06,31.83,1659.4,23.22736796
PGC071171,0.37,32.739,4145.5,35.30205604
PGC071197,0.54,32.92,3747,38.37072455
NGC7640,0.107,29.647,578.7,8.499629594
ESO291-024,0.4,31.76,1661.8,22.49054606
ESO407-018,0.038,26.736,73.9,2.224333998
ESO240-004,0.4,31.57,1517.5,20.60629913
NGC7689,0.282,31.929,1900.4,24.31084196
NGC7690,0.4,31.65,1442,21.3796209
NGC7694,0.347,30.745,2380.8,14.09288798
IC5328,0.15,32.867,3101.4,37.44553156
PGC071754,0.364,33.426,4985.8,48.43953885
ESO347-029,0.275,32.41,1553.4,30.33891184
ESO408-012,0.4,33.58,2974.4,51.99959965
NGC7723,0.231,31.997,1938.3,25.08418528
PGC072006,0.54,32.44,2149.1,30.76096815
ESO292-014,0.4,32.01,1451.3,25.23480772
PGC072169,0.354,35.064,7611.8,102.9911719
PGC072252,0.272,31.743,2206.7,22.31515974
UGC12769,0.54,32.82,2193.1,36.64375746
ESO149-001,0.54,31.6,1818.3,20.89296131
NGC7755,0.343,32.38,2970.6,29.92264637
UGC12814,0.346,34.766,5995.8,89.78421709
PGC072633,0.347,35.48,10132.2,124.7383514
NGC7761,0.044,35.119,7257.9,105.6330939
ESO149-003,0.058,29.221,505.8,6.98554026
ESO471-027,0.067,35.346,8837.8,117.2735306
PGC072734,0.54,35.14,5942.5,106.6596121
ESO538-013,0.023,35.959,10253.8,155.5249248
PGC073123,0.032,35.416,7746.3,121.1155763
NGC7796,0.4,33.467,3259.7,49.36282431
PGC073507,0.111,36.052,13297.2,162.3304528
PGC074050,0.04,34.26,4893.7,71.12135137
PGC074605,0.36,31.82,,23.1206479
PGC074617,0.18,31.37,1389.4,18.79316817
PGC074714,0.19,31.3,1374.3,18.19700859
PGC074752,0.16,31.31,1907.2,18.28100216
PGC077827,0.46,34.38,2980.6,75.1622894
PGC079913,0.54,34.79,6483.1,90.78205302
PGC083333,0.071,29.895,,9.52796164
PGC083329,0.085,30,790,10
PGC083321,0.07,30.055,,10.25651926
PGC083339,0.063,30.043,736.4,10.19999597
PGC083664,0.2,35.161,6891.1,107.6961058
PGC083665,0.2,33.851,8121.5,58.91148903
PGC083667,0.2,34.128,6932.7,66.92679069
PGC083719,0.2,34.868,5919,94.10224835
PGC083725,0.2,33.37,7643.5,47.20630413
PGC083715,0.2,34.235,6987.8,70.30723199
PGC083740,0.2,33.465,8259.9,49.3173804
PGC083742,0.2,34.159,7883,67.88909198
PGC086068,0.23,32.11,1893.8,26.42408757
PGC086266,0.54,33.85,4703.1,58.88436554
PGC086269,0.54,33.31,3398.3,45.91980128
PGC086290,0.54,33.47,3727.9,49.4310687
PGC086669,0.075,29.834,640.3,9.264031007
PGC088608,0.242,19.714,73.9,0.087659704
PGC089942,0.54,32.1,3316.3,26.30267992
PGC090392,0.54,32.21,4308.3,27.66941645
PGC090402,0.54,31.68,2733.7,21.67704105
PGC090548,0.54,35.18,6209.6,108.6425624
PGC090591,0.54,36.06,11843.8,162.9296033
PGC090592,0.54,35.03,7794.3,101.3911386
PGC090595,0.54,35.98,6002.3,157.0362804
PGC090695,0.361,34.684,6393.5,86.4569678
PGC090694,0.54,31.87,1615.3,23.65919697
PGC090717,0.54,35.92,10010.4,152.7566058
PGC090751,0.54,34.96,4406.1,98.1747943
PGC090766,0.54,35.05,5430.3,102.3292992
PGC090771,0.54,34.53,6538.5,80.53784412
PGC090775,0.346,35.212,7285.9,110.2554332
PGC090776,0.54,34.23,3251.4,70.14552984
PGC090778,0.54,36.05,9576.8,162.1810097
PGC090784,0.54,36.49,8580.3,198.6094917
PGC090811,0.54,34.56,4136.9,81.65823714
PGC090817,0.54,35.14,5587.7,106.6596121
PGC090844,0.347,33.66,4617.8,53.95106225
PGC090927,0.54,34.78,4418.3,90.36494737
PGC090941,0.54,32.97,2163.2,39.26449354
PGC091580,0.54,36.62,10734.6,210.862815
PGC091586,0.54,34.9,6430.2,95.4992586
PGC091594,0.54,35.48,9192.2,124.7383514
PGC091630,0.54,34,5484.7,63.09573445
PGC091643,0.54,34.83,5105.6,92.46981739
PGC091656,0.54,32.67,3978.3,34.19794425
PGC091742,0.54,33.74,2804.6,55.97576015
PGC091755,0.54,31.17,1753.3,17.13957308
PGC091777,0.54,34.33,5285.2,73.45138682
PGC092378,0.54,34.34,5757.5,73.79042301
PGC095597,0.018,27.665,157.9,3.411929116
PGC097023,0.54,32.27,5599,28.44461107
PGC097032,0.54,33.08,4560,41.3047502
PGC097067,0.54,32.94,4473.1,38.72576449
PGC097081,0.54,33.11,5523.6,41.87935651
PGC097109,0.54,30.64,6055.9,13.42764961
PGC097136,0.54,33.77,3394.9,56.75446054
PGC097187,0.54,34.9,5100.5,95.4992586
PGC097243,0.4,32.51,2978.9,31.76874071
PGC100169,0.2,26.15,207.6,1.698243652
PGC100768,0.54,33.45,4340.9,48.97788194
PGC132177,0.085,37.494,19079.7,315.3552025
PGC138836,0.7,28.7,339.7,5.495408739
PGC142820,0.347,34.195,5013.5,69.02398038
PGC155511,0.54,34.49,3673.3,79.0678628
PGC165356,0.54,32.55,3315.6,32.35936569
PGC165788,0.54,34.3,5289.5,72.44359601
PGC166073,0.031,28.121,,4.209204248
PGC166082,0.108,27.792,97.5,3.617428868
PGC166077,0.22,27.556,80.8,3.244890157
PGC166095,0.041,29.82,428.9,9.204495718
PGC166096,0.047,29.829,,9.242724327
PGC166101,0.015,27.9,,3.801893963
PGC166115,0.17,28.296,248.1,4.562469771
PGC166107,0.059,29.991,,9.958639241
PGC166127,0.064,29.319,,7.30802459
PGC166142,0.078,28.18,352.5,4.32513831
PGC166146,0.106,28.213,,4.39136969
PGC166152,0.076,28.842,449.3,5.866782664
PGC166131,0.323,30.966,,15.60270869
PGC166158,0.063,28.143,,4.25206603
PGC166167,0.14,27.88,,3.76703799
PGC166170,0.059,28.49,259.3,4.988844875
PGC166172,0.073,27.872,,3.753185242
PGC166175,0.069,28.166,,4.297342812
PGC166176,0.06,28.47,,4.94310687
PGC166179,0.034,27.912,,3.822962166
PGC166192,0.2,28.63,359.2,5.321082593
PGC166472,0.54,34.03,4441.1,63.97348355
PGC166559,0.54,34.37,4602,74.81695005
PGC166628,0.54,29.68,6047.7,8.629785478
PGC166755,0.54,32.49,2651.5,31.47748314
PGC166758,0.54,33.86,4566.2,59.15616342
PGC166785,0.54,34.09,4842.8,65.76578374
PGC200171,0.08,37.62,23832.3,334.19504
PGC212843,0.051,36.065,11410,163.3051948
PGC213672,0.084,35.96,9104.9,155.5965632
PGC214810,0.03,34.962,7952,98.26525828
PGC340526,0.018,36.648,15079.7,213.599386
PGC471591,0.043,37.294,18221.3,287.6073629
PGC575633,0.46,33.75,3128.6,56.23413252
PGC576005,0.44,32.66,4486.2,34.04081897
PGC576636,0.45,33.37,4564.3,47.20630413
PGC577429,0.45,33.56,1783,51.52286446
PGC648636,0.054,36.968,14506.3,247.5141318
PGC662260,0.047,37.522,20471.6,319.4478724
PGC679349,0.036,36.801,15001.3,229.1922879
PGC090540,0.54,33.03,2277.8,40.3645393
PGC065022,0.346,35.018,5934.4,100.8323758
PGC028731,0.011,27.82,321.5,3.664375746
CETUS3,0.2,22,,0.251188643
VIRGO1,0.164,19.761,,0.089577719
IC2098,0.367,33.118,2731.1,42.03393032
PGC214719,0.091,37.494,22682.1,315.3552025
NGC0812,0.355,33.736,5308,55.8727439
UGC02540,0.54,35.1,4025.3,104.7128548
NGC1260,0.483,34.169,5855.3,68.20245379
UGC02637,0.367,33.378,5218.1,47.38053933
UGC02650,0.101,35.617,8461.9,132.8617596
UGC02708,0.12,34.44,5428.7,77.26805851
UGC02956,0.347,33.781,4593.4,57.04269031
UGC03092,0.359,34.278,4931.9,71.71334827
UGC03110,0.349,33.731,4631.6,55.74424015
UGC03172,0.54,34.17,4685.5,68.23386941
UGC03147,0.54,32.91,3024.2,38.19442708
NGC1819,0.025,33.895,4398.4,60.11737375
NGC2146A,0.38,31.7,1638,21.87761624
UGC03375,0.22,33.48,5856.7,49.65923215
UGC03922,0.347,35.695,8846.4,137.7209469
UGC03919,0.45,33.86,4958,59.15616342
UGC03776,0.346,33.208,3859.7,43.8126982
UGC04169,0.27,32.541,1681.2,32.2255249
NGC2706,0.23,33.53,1467.7,50.81594426
UGC04601,0.364,32.436,1917.9,30.70435651
NGC2756,0.47,33.51,4025,50.35006088
NGC2938,0.346,33.09,2415.7,41.49540426
UGC05689,0.54,33.35,2951.4,46.77351413
NGC3252,0.4,31.53,1274.5,20.23019179
UGC06610,0.346,32.58,1860.6,32.80952931
NGC3795,0.346,31.938,1293.5,24.41181106
UGC06609,0.095,35.342,7661.7,117.0577036
UGC06757,0.14,28.32,178,4.613175746
UGC06802,0.4,32.36,1317.3,29.6483139
UGC07129,0.382,29.755,963.3,8.933054837
UGC07242,0.019,28.679,180,5.442519578
NGC4256,0.4,33.02,2646.3,40.17908108
NGC4386,0.49,32.137,1790.8,26.75469473
NGC4331,0.54,31.59,1711.6,20.79696687
NGC4441,0.45,31.377,2778.9,18.85384794
NGC4495,0.015,34.248,4567.6,70.72940424
UGC07908,0.54,31.14,1808.4,16.90440932
NGC4704,0.038,35.208,8200.4,110.0525221
UGC08052,0.54,32.32,1685.6,29.10717118
NGC4919,0.2,34.626,7314.5,84.17827077
NGC4979,0.353,33.503,6331.7,50.18801279
UGC08215,0.037,28.289,296.7,4.547785786
UGC08318,0.4,32.96,2371.4,39.08408958
NGC5109,0.4,31.8,2245.6,22.90867653
UGC08399,0.026,35.393,7283.5,119.8395032
PGC046604,0.112,36.462,15941.3,196.0649667
UGC08472,0.049,35.223,6554.4,110.8153698
UGC08684,0.347,31.931,2327,24.33324338
UGC08760,0.028,27.584,262.5,3.28700224
NGC5526,0.378,32.133,2181.6,26.70545612
NGC5900,0.292,33.653,2619.7,53.7774246
NGC5950,0.54,32.44,2745.4,30.76096815
UGC10058,0.4,34.21,2255.7,69.50243176
UGC10194,0.54,32.42,1044.3,30.4789499
UGC10704,0.03,37.05,19504,257.0395783
UGC10780,0.356,35,6851.2,100
UGC11149,0.044,36.887,16461.9,238.4514677
UGC11377,0.54,34.95,7664.2,97.7237221
UGC11422,0.54,32.58,4876.8,32.80952931
UGC11677,0.54,34.41,5160.3,76.207901
UGC11768,0.346,35.324,6809.5,116.091387
UGC11799,0.54,34.45,5570.3,77.62471166
NGC7461,0.045,33.804,4410.7,57.65009138
UGC00669,0.382,33.205,5991.6,43.75221052
UGC00679,0.346,33.698,5259.3,54.9034961
NGC0382,0.017,34.25,5375,70.79457844
NGC0495,0.043,34.197,4249.6,69.0875831
NGC0494,0.06,34.09,5525.7,65.76578374
UGC01066,0.374,34.339,5209.4,73.75644909
IC0126,0.026,34.306,5954.1,72.64404186
UGC01666,0.02,36.31,13416.4,182.8100216
NGC0841,0.349,33.741,4669.3,56.00154388
UGC01988,0.349,33.939,5902.9,61.34794224
UGC02035,0.349,34.069,5207.8,65.13283772
UGC02345,0.4,30.74,1512.3,14.06047524
UGC02384,0.046,35.675,9884.1,136.4583137
UGC02463,0.4,32.9,2009.9,38.01893963
IC0284,0.4,31.93,2833.4,24.32204009
IC0304,0.347,34.391,5049.3,75.54400406
UGC02684,0.2,29.065,386.3,6.501296903
NGC2258,0.032,33.871,4190,59.45659033
UGC03500,0.54,33.32,4545.2,46.13175746
UGC03576,0.059,34.776,6009.3,90.19864221
UGC03584,0.54,33.82,4397.2,58.07644175
UGC03595,0.056,35.316,7972.9,115.6644774
UGC03725,0.046,34.683,6212,86.41716206
UGC03789,0.171,33.482,3385.4,49.70499106
UGC03845,0.036,33.536,3060.8,50.95654806
UGC04032,0.346,35.442,8070.7,122.5744632
UGC04381,0.347,33.651,4461.8,53.72791656
UGC04414,0.066,35.399,7459.4,120.1710899
UGC04455,0.04,35.63,9113.6,133.6595517
UGC04468,0.18,34.51,7407,79.79946873
UGC04446,0.357,34.666,5930.2,85.74326166
UGC04922,0.27,32.77,2016.8,35.80964371
UGC05050,0.4,31.87,2313,23.65919697
NGC3155,0.346,33.434,3070.4,48.61832585
UGC06211,0.03,36.97,17384.2,247.7422058
UGC06271,0.54,32.5,1977.6,31.6227766
UGC06509,0.32,33.096,2848.8,41.61021885
UGC06534,0.346,31.092,1356.9,16.53484012
UGC06575,0.262,32.689,1296.4,34.49848314
NGC3794,0.28,31.584,1460.9,20.73958204
UGC06780,0.266,33.055,1599.2,40.83193863
NGC3850,0.349,31.557,1233,20.4833035
NGC3873,0.046,34.421,5332.9,76.59492584
UGC06774,0.352,33.823,2502,58.15673277
NGC3978,0.058,35.978,10045.6,156.8917113
NGC3990,0.28,30.037,767.2,10.17185124
NGC4067,0.346,33.138,2343.2,42.42286549
UGC06992,0.356,30.95,808.1,15.48816619
NGC4059,0.07,35.269,7130.8,113.1878994
UGC08162,0.02,35.11,7167.1,105.1961874
UGC08246,0.36,31.62,847.6,21.0862815
UGC08261,0.4,33.23,897.9,44.25883724
UGC08795,0.346,32.908,2372.8,38.15926491
UGC08799,0.23,30.276,1022.2,11.35533628
NGC5346,0.254,32.845,2581,37.06807218
NGC5452,0.4,32.6,2226.1,33.11311215
UGC08995,0.278,31.71,1227.8,21.97859873
NGC5582,0.23,32.247,1527.8,28.1449188
UGC09391,0.025,33.001,2046.6,39.82905479
UGC09657,0.4,32.72,2673,34.9945167
UGC09665,0.359,32.738,2688.9,35.28580258
UGC10261,0.081,37.427,19155.5,305.7736096
NGC6168,0.35,32.445,2642.1,30.8318795
NGC6261,0.069,36.114,10698.1,167.0321226
NGC6323,0.63,35.147,7985,107.0039969
UGC10854,0.346,33.466,3014.2,49.34009712
UGC10858,0.348,34.743,5637.5,88.83825104
UGC10887,0.54,32.82,2026.8,36.64375746
UGC11021,0.358,34.612,5367.3,83.63729916
UGC11060,0.347,34.115,4842.8,66.52731562
UGC11064,0.036,35.046,7221.7,102.1409752
UGC11260,0.044,35.2,6384.7,109.6478196
UGC11328,0.346,34.816,5861.7,91.87556017
NGC6662,0.54,34.77,5515.2,89.94975815
NGC6801,0.346,33.228,4586.1,44.21809211
UGC11961,0.348,34.287,4384.1,72.01119202
IC2513,0.54,32.7,2649.8,34.67368505
PGC029086,0.54,30.86,495.4,14.85935642
ESO428-009,0.351,32.821,2028.6,36.66063642
PGC017395,0.357,32.326,2590,29.18770848
PGC085610,0.356,35.28,8187.5,113.7627286
PGC086285,0.275,33.199,2789.6,43.63148556
PGC085551,0.364,35.836,8928.7,146.9602899
ESO410-005,0.016,26.438,29.1,1.939099079
PGC002590,0.11,24.18,-150.9,0.685488226
UGC01162,0.033,36.184,11257.8,172.5043297
UGC01650,0.54,34.41,4716.8,76.207901
UGC02194,0.54,33.76,5600.1,56.49369748
UGC02801,0.352,34.537,6105.7,80.79788637
PGC013146,0.068,31.463,1935,19.61552788
NGC1380B,0.089,31.522,1628,20.15579813
NGC1533,0.103,31.431,622.1,19.32858226
PGC016850,0.4,31.82,1842.6,23.1206479
ESO119-016,0.4,32.5,783.7,31.6227766
UGC03423,0.54,33.99,4416.9,62.80583588
ESO308-022,0.14,29.86,611.2,9.375620069
ESO491-015,0.35,32.805,2477.2,36.39150361
UGC03763,0.349,35.531,7143.4,127.7026766
NGC2525,0.37,30.93,1397.9,15.34616983
NGC2921,0.54,33.48,2758.8,49.65923215
PGC028759,0.053,27.921,206.9,3.838839899
NGC3056,0.146,30.884,758.1,15.02449903
ESO437-067,0.54,29,2977.9,6.309573445
NGC4205,0.362,30.94,1549.4,15.41700453
NGC4255,0.45,32.29,1893.4,28.70780582
NGC4260,0.11,32.8,1709.3,36.30780548
NGC4309,0.183,32.134,968.6,26.71775727
PGC040115,0.071,31.857,1029.5,23.5179791
NGC4377,0.05,31.217,1311.3,17.51459099
NGC4391,0.27,31.877,1436,23.73558828
PGC040636,0.17,31.2,2428.8,17.37800829
UGC07557,0.2,30.979,861.1,15.69639792
NGC4445,0.296,31.284,285.4,18.06342083
UGC07580,0.056,30.996,538.5,15.81976399
PGC041156,0.074,31.118,391.1,16.73400907
NGC4528,0.043,30.967,1314.6,15.60989565
IC3490,0.2,31.091,188.8,16.5272273
PGC042046,0.116,30.975,1360.1,15.6675107
IC3602,0.065,31.207,1216.1,17.43411876
NGC4608,0.45,31.53,1786.8,20.23019179
NGC4842:,0.2,35.417,7245.7,121.1713649
IC3957,0.2,35.375,6373.5,118.8502227
UGC08114,0.2,32.14,1965,26.79168325
NGC5016,0.4,33.33,2617.4,46.34469197
NGC5193,0.105,33.235,3567.7,44.36086439
UGC09279,0.54,33.99,4163.5,62.80583588
UGC09401,0.42,35.21,5679.2,110.153931
IC4536,0.54,31.7,2238.6,21.87761624
UGC10014,0.4,32.95,1193.2,38.9045145
NGC6750,0.54,33.02,3903.6,40.17908108
UGC11816,0.048,34.261,4900.1,71.1541115
NGC7259,0.085,31.516,1761.3,20.10018247
PGC083454,0.02,35.95,11328,154.8816619
PGC091621,0.54,34.46,6708.1,77.98301105
PGC091661,0.54,35.04,5805.4,101.8591388
PGC093031,0.348,33.393,3622.4,47.70896554
PGC166163,0.092,28.59,428.1,5.22396189
PGC166193,0.2,28.64,357,5.345643594
PGC343503,0.057,35.893,10345.8,150.8689959
PGC643983,0.09,36.22,15987,175.3880502
PGC906205,0.54,34.2,4593.3,69.18309709
PGC1210567,0.54,33.55,6057.5,51.2861384
PGC2798871,0.56,33.02,,40.17908108
PGC2802594,0.22,24.42,,0.765596607
PGC3111932,0.39,38.78,46670.2,570.1642723
SDSSJ085112.11+275248.1,0.026,29.64,344.8,8.472274141
[CKT2009]D0959+68,0.088,28.133,-80.2,4.232529561
SDSSJ215546.40+003536.7,0.15,40.09,79038.1,1042.317429
SDSSJ215440.79+002448.4,0.12,39.48,66181.2,787.0457897
SDSSJ223031.48-003009.6,0.14,39.79,84492.5,907.8205302
SDSSJ230102.97-001226.5,0.14,40.32,91616.7,1158.777356
SDSSJ232021.45-002059.2,0.22,40.59,105029,1312.199899
SDSSJ122852.81-000540.1,0.4,42.51,185778,3176.874071
[GC96]J082443.49-002106.2,0.33,41.36,113765,1870.68214
SDSSJ010208.65-005246.8,0.12,39.22,57449.7,698.2324041
PICTORIS1,0.173,20.4,,0.120226443
ANTLIAB,0.16,25.56,164.2,1.294195841
NGC4045,0.346,32.558,1867,32.47880188
[SBS2017]D1005+68,0.225,28,,3.981071706
ESO383-032,0.021,35.095,7067.2,104.4720219
ESO466-036,0.346,33.756,2417.5,56.38972803
IC5270,0.095,31.96,1931.9,24.66039337
IC5269,0.2,32.02,2033.9,25.3512863
ESO320-004,0.4,31.54,2644.8,20.32357011
ESO440-004,0.347,32.645,1660.2,33.80648362
PGC046261,0.291,33.104,2529.2,41.7637993
NGC5054,0.27,30.864,1629.6,14.88675359
NGC1051,0.54,31.65,1285.8,21.3796209
NGC1331,0.2,31.8,1126.8,22.90867653
NGC1827,0.4,30.2,865.2,10.96478196
ESO504-024,0.54,31.84,1716.6,23.33458062
NGC4600,0.068,29.832,757.8,9.255502448
ESO440-011,0.54,28.44,1757.3,4.875284901
NGC3936,0.258,31.4,1840.4,19.05460718
ESO404-018,0.307,32.416,2303.5,30.42285727
IC5269B,0.257,31.589,1670.9,20.78739172
NGC7418A,0.54,32.71,2108.7,34.8337315
NGC7418,0.4,31.1,1450.7,16.59586907
PANDAS48,0.11,24.57,-95.6,0.820351544
UGC07639,0.148,29.42,446.1,7.655966069
NGC3769,0.36,31.06,768.2,16.29296033
UGC06773,0.36,30.78,982.5,14.32187899
UGC06399,0.291,31.541,848.4,20.33293161
NGC3726,0.252,30.642,907.4,13.44002263
NGC3877,0.253,30.836,951.9,14.69602899
NGC3893,0.35,31.3,1016.2,18.19700859
NGC3949,0.249,31.344,853.1,18.56949101
UGC06894,0.364,31.336,927.8,18.50120435
NGC3972,0.346,31.506,932.9,20.00783052
UGC06917,0.272,31.479,974.9,19.76059422
NGC3985,0.27,31.053,1038.6,16.24052259
NGC4013,0.249,31.367,876.9,18.76722237
NGC4010,0.257,31.262,957.6,17.88133749
IC0750,0.13,32.75,739.7,35.48133892
UGC06983,0.35,31.64,1152.2,21.28139046
NGC4085,0.269,31.413,849,19.16902395
UGC07089,0.25,30.336,813.8,11.67347076
UGC07094,0.36,30.15,812.4,10.71519305
NGC4102,0.263,31.307,919.5,18.25576346
NGC4157,0.264,31.109,845.2,16.66479594
NGC4183,0.256,31.108,965.6,16.65712328
NGC4217,0.259,31.345,1063,18.57804455
ESO471-006,0.052,28.2,274.7,4.365158322
IC1574,0.084,28.465,374.7,4.93173804
NGC0059,0.03,28.45,396.4,4.897788194
NGC0247,0.014,27.849,171.9,3.713641702
FORNAX_UFD1,0.15,31.37,,18.79316817
UGC11411,0.054,29.083,296.5,6.555412124
LEOT,0.084,23.085,-58.5,0.413999675
UGC12807,0.347,36.475,12533.5,197.2422736
PGC2802582,0.32,24.35,-194.4,0.741310241
PGC3084796,0.17,23.98,-66.6,0.625172693
UGC00549,0.346,34.29,6222.6,72.11074792
UGC02982,0.54,33.35,5275.8,46.77351413
UGC03070,0.349,32.287,2448.7,28.66817191
UGC03420,0.42,34.44,5244.3,77.26805851
PGC019975,0.064,32.831,3371.2,36.82985423
UGC04777,0.27,32.533,2006.3,32.10702011
NGC6462,0.094,36.175,11715.3,171.7908387
UGC06879,0.54,32.53,2272.1,32.06269325
NGC6695,0.54,35.28,5702.9,113.7627286
PGC3097693,0.098,31.384,1787,18.91472363
ESO215-009,0.019,28.689,378.9,5.467641107
PGC2815820,0.07,27.33,,2.924152378
PGC2815822,0.028,27.932,,3.858335599
PGC2815823,0.116,27.947,,3.885080304
PGC2793261,0.2,33.596,4637.3,52.3841619
PGC2793266,0.2,34.366,5429.4,74.67925899
PGC2793272,0.2,34.126,4225.1,66.86517722
PGC2793273,0.2,34.016,5404.9,63.56235799
PGC2793294,0.2,34.599,5720.1,83.13808179
PGC2793297,0.2,33.454,4560.4,49.06818568
PGC2793300,0.2,34.61,4468.1,83.56030182
PGC2793302,0.2,33.285,5717,45.39416167
PGC2793304,0.2,34.353,5175.2,74.2335107
PGC2793305,0.2,35.19,4930.2,109.1440336
PGC2793306,0.2,33.611,3941.6,52.74727157
PGC2793309,0.2,34.97,5229.2,98.62794856
PGC2793310,0.2,34.027,6133,63.88516194
