Objectname,distance_modulus,v_gsr,distance_mpc
NGC4472,31.104,910.9,16.62646797
NGC4486B,31.034,1447.1,16.09904076
NGC4490,29.82,632.5,9.204495718
NGC4478,31.13,1336.5,16.82674061
NGC4515,31.078,915.7,16.42857898
NGC4551,31.029,1149.6,16.062014
NGC4546,30.717,953.6,13.91233415
NGC4575,32.32,2798.9,29.10717118
PGC042275,27.801,318.6,3.632452969
NGC4589,32.068,2143.5,25.91791135
NGC4603D,32.637,2535.3,33.68216508
NGC4679,33.861,4478.9,59.18341211
NGC4649,31.159,1058.7,17.0529689
NGC4731,30.577,1393.4,13.04367592
NGC4699,31.87,1288.6,23.65919697
NGC4742,30.927,1161.7,15.32498295
NGC4379,30.975,1004.7,15.6675107
ESO323-027,33.257,3679.4,44.81258533
NGC0115,32.289,1811.8,28.69458843
ESO323-042,32.62,4028.4,33.419504
NGC4800,32.297,934,28.80049817
NGC4814,33.145,2598.4,42.55984131
NGC4835,31.52,2007.3,20.1372425
IC4051,35.602,4998.5,131.9471457
UGC08091,26.605,185.6,2.094112456
NGC4945,27.699,386.2,3.46577209
NGC4947A,32.58,2424.9,32.80952931
ESO443-041,34.31,4721.9,72.77798045
PGC045877,32.326,2641.5,29.18770848
NGC5005,31.66,997.3,21.47830474
NGC5018,32.91,2722.2,38.19442708
NGC5022,32.774,2870.4,35.8756683
ESO576-011,32.557,2635.6,32.46384828
IC4231,32.232,2130.9,27.95117054
IC4237,32.14,2540.6,26.79168325
PGC091705,34.72,5577.1,87.90225168
ESO509-074,32.712,2474.7,34.86582934
ESO040-012,32.911,2478.9,38.21202032
NGC5248,30.393,1127.3,11.98395032
ESO445-015,34.364,4248.3,74.61050852
ESO444-086,33.966,3908,62.11550208
IC4296,33.581,3641.6,52.02355187
NGC5308,32.269,2141.9,28.43151486
ESO383-067,33.242,3962.9,44.50409766
NGC5322,32.447,1928.4,30.86028979
ESO383-088,33.627,4105.9,53.13736321
ESO001-006,32.414,2054.5,30.39484969
ESO271-022,33.067,2876.5,41.0582089
ESO446-023,35.374,6822.6,118.7955028
NGC5485,32.047,2026.8,25.66847102
NGC5638,32.077,1649.7,26.02555502
NGC5576,32.007,1408.6,25.19996862
ESO447-019,33.2,3769.3,43.65158322
ESO041-006,31.21,2396.8,17.45822153
ESO447-023,33.554,3681.1,51.38069802
NGC5592,33.49,4240.3,49.88844875
ESO446-051,35.117,7116.6,105.535847
UGC09242,31.931,1560.7,24.33324338
NGC5705,31.6,1747.1,20.89296131
ESO022-003,32.74,2571.4,35.31831698
IC4468,32.171,2377.5,27.17690523
PGC052809,31.132,2140.1,16.84224575
ESO580-049,33.596,3919,52.3841619
NGC5831,32.147,1640.4,26.87818879
NGC5812,32.127,1898.6,26.63176807
NGC5833,32.523,2874.6,31.95950175
NGC5879,31.043,912.7,16.16590417
NGC5963,32.65,819,33.88441561
ESO582-012,31.915,2271.4,24.15460834
NGC5903,32.627,2505.7,33.52740958
ESO582-004,32.812,2176.9,36.50900525
ESO387-026,33.752,4284.7,56.28594993
ESO329-007,34,4523.3,63.09573445
NGC5962,32.54,2039.8,32.21068791
NGC5967,32.621,2762.5,33.4348978
NGC5982,32.88,2992.7,37.6703799
ESO516-008,34.997,7096.3,99.86194028
IC4555,32.058,2502.7,25.79882936
NGC6181,32.633,2489.1,33.62017735
NGC6411,33.861,3947.2,59.18341211
ESO009-010,32.16,2258.8,27.03958364
NGC6300,30.15,996.8,10.71519305
NGC6574,32.95,2444.5,38.9045145
NGC0134,31.248,1565.4,17.76642308
NGC6684,30.697,772.9,13.7847851
NGC6744,29.805,758.5,9.141132415
IC4889,32.307,2500.1,28.93343523
ESO397-018,34.095,5431.7,65.91738952
NGC6822,23.317,43.7,0.460680681
NGC6851,32.767,3022.5,35.76020502
NGC6868,32.14,2922.1,26.79168325
ESO527-019,32.985,3189,39.53666201
NGC6909,32.727,2758.1,35.10750772
IC5007,32.558,2765.7,32.47880188
IC5078,31.514,1573,20.08167804
NGC7097,32.527,2598.4,32.01842758
NGC7144,31.927,1896.5,24.28846115
NGC7145,31.827,1862.6,23.19530033
NGC7171,33.197,2823.4,43.59131797
NGC7192,32.867,2763.9,37.44553156
NGC7247,32.32,2535.4,29.10717118
NGC7218,31.996,1752.2,25.07263625
ESO533-004,32.859,2647.6,37.30783093
ESO602-015,33.214,2752.3,43.93392456
NGC7339,31.699,1533.4,21.86754354
UGC12123,33.717,4281.4,55.38599983
NGC7361,30.889,1285,15.05913408
NGC7392,33.1,3225.6,41.68693835
ESO346-001,32.832,2399.6,36.84681891
IC1474,33.179,3636.5,43.23146969
NGC7537,32.82,2817.7,36.64375746
NGC7541,32.904,2821.2,38.08903765
NGC7593,33.647,4264.6,53.62903718
NGC7590,31.95,1563.1,24.54708916
NGC7626,33.23,3551.4,44.25883724
NGC7608,33.173,3679.6,43.1121816
IC5321,32.934,2936.9,38.61890894
NGC7713,29.879,681.5,9.458015034
ESO079-003,32.6,2507.9,33.11311215
NGC4138,30.677,919.7,13.65840543
NGC3786,33.196,2692,43.57124805
NGC3044,31.656,1143.4,21.43877666
UGC11711,36.09,9172.1,165.1961798
NGC7469,34.252,5072.3,70.85981269
UGC11142,34.145,4690,67.45280277
UGC12430,33.117,3871.6,42.01457744
UGC11994,34.04,5095.2,64.26877173
UGC00014,35.03,7425.5,101.3911386
NGC7591,33.719,5100.8,55.43703572
IC5309,33.325,4334,46.23810214
NGC2742,31.598,1358.7,20.87372704
NGC0801,33.766,5895.8,56.65001119
NGC4631,29.331,636.2,7.348522022
NGC6674,33.695,3619.4,54.82769649
NGC4096,30.395,619.5,11.99499303
NGC2695,32.527,1669.3,32.01842758
NGC4318,31.698,1141.2,21.85747549
NGC4340,30.83,907.1,14.65547841
NGC2986,32.658,2122.3,34.00948065
NGC4339,31.057,1216.2,16.27046631
NGC4468,30.977,840.9,15.68194766
NGC4479,31.177,798.3,17.19491368
